,ID,Name,HashName,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
77,2851,Kirk Blaine Allen,26cea496165e1e8ba182044882ede5761ae29cb098e501e208a9d601c4644bd7,M,20.0,186.0,75.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
78,2866,Roger Allen,48cd24555985a9206ac2e15807566cc75282bffc4693f6fdba9638f67720921b,M,19.0,189.0,,Canada,CAN,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
79,2866,Roger Allen,48cd24555985a9206ac2e15807566cc75282bffc4693f6fdba9638f67720921b,M,19.0,189.0,,Canada,CAN,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
80,2867,Roseanne Allen,a1b76085f023c2e59379d6dfcda98e9592f71fcb3d69e4cda03fc2a8cf2dd73e,F,17.0,170.0,77.0,Canada,CAN,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
81,2867,Roseanne Allen,a1b76085f023c2e59379d6dfcda98e9592f71fcb3d69e4cda03fc2a8cf2dd73e,F,17.0,170.0,77.0,Canada,CAN,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,
82,2884,Patricia Kim Alletson,7cfca918c10f394451102adb19dcba04b3b501266bd8389a9e825aa44b102732,F,17.0,,,Canada,CAN,1976 Winter,1976,Winter,Innsbruck,Figure Skating,Figure Skating Women's Singles,
83,2889,Jeffrey Alleyne,5cf641fc971fad64887f2f930e8ead1255ee9615fe377d8d1abcc777b3f353e0,M,22.0,,71.0,Canada,CAN,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Middleweight,
84,2909,"Ian Alistair ""Al"" Allison",a7f69d018a3cd6475cd8be7ca67cc01602e63d00a1a8022677cd1cd3d8bdeefc,M,27.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Silver
85,2910,May Allison,81699101af97372c8261940a7daf0626ef8599d4ee36a49ad8916817b59c5593,F,31.0,162.0,54.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Marathon,
86,2991,Almighty Voice,d31c9eefdb9e06dc8e3e5bb5e693ff87c820569698bf5f7c4947927754b01ed3,M,,,,Mohawk Indians-2,CAN,1904 Summer,1904,Summer,St. Louis,Lacrosse,Lacrosse Men's Lacrosse,Bronze
87,3420,Jessica L. Amey,8dd8059ca80fc29f11ccc0ce190916786f7322b345bdc7b1275432c7c7a4ae2f,F,19.0,173.0,63.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Butterfly,
88,3473,Amanda Ammar,abb879b982de936c2ebd26caf621a568a4f8974f58b22d9f9165e42c854ab3df,F,20.0,157.0,54.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's Sprint,
89,3473,Amanda Ammar,abb879b982de936c2ebd26caf621a568a4f8974f58b22d9f9165e42c854ab3df,F,20.0,157.0,54.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
90,3473,Amanda Ammar,abb879b982de936c2ebd26caf621a568a4f8974f58b22d9f9165e42c854ab3df,F,20.0,157.0,54.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
91,3473,Amanda Ammar,abb879b982de936c2ebd26caf621a568a4f8974f58b22d9f9165e42c854ab3df,F,28.0,157.0,54.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
92,3473,Amanda Ammar,abb879b982de936c2ebd26caf621a568a4f8974f58b22d9f9165e42c854ab3df,F,28.0,157.0,54.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
93,3473,Amanda Ammar,abb879b982de936c2ebd26caf621a568a4f8974f58b22d9f9165e42c854ab3df,F,28.0,157.0,54.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,
94,3513,Troy Amos-Ross,7b2a7946657374c738cd323b23c84a19473790adc7f8f9166ff71544f4201b7e,M,21.0,180.0,81.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Heavyweight,
95,3513,Troy Amos-Ross,7b2a7946657374c738cd323b23c84a19473790adc7f8f9166ff71544f4201b7e,M,25.0,180.0,81.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Heavyweight,
96,3552,Gail Amundrud (-Beattie),fd35579ce21332f58b9ab74c33d2a2b5d202149d875adfc77a0391a1eccdff6c,F,19.0,183.0,70.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Freestyle,
97,3552,Gail Amundrud (-Beattie),fd35579ce21332f58b9ab74c33d2a2b5d202149d875adfc77a0391a1eccdff6c,F,19.0,183.0,70.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Freestyle,
98,3552,Gail Amundrud (-Beattie),fd35579ce21332f58b9ab74c33d2a2b5d202149d875adfc77a0391a1eccdff6c,F,19.0,183.0,70.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
99,3563,"Francis ""Frank"" Amyot",5e7e393a133feda0c7e97559c2ecfcf1fd9e461663d2e46887935193863950bd,M,31.0,188.0,84.0,Canada,CAN,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
100,3563,"Francis ""Frank"" Amyot",5e7e393a133feda0c7e97559c2ecfcf1fd9e461663d2e46887935193863950bd,M,31.0,188.0,84.0,Canada,CAN,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
101,3626,"Douglas Thomas ""Doug"" Anakin",0d3af5ff5126b80e85dee3b0669d831842989be5d4c4daf7a08dd9baf6541505,M,33.0,,,Canada,CAN,1964 Winter,1964,Winter,Innsbruck,Luge,Luge Men's Singles,
102,3626,"Douglas Thomas ""Doug"" Anakin",0d3af5ff5126b80e85dee3b0669d831842989be5d4c4daf7a08dd9baf6541505,M,33.0,,,Canada-1,CAN,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,Gold
103,3804,Dale Irwin Anderson,9752cde502305384fcfcfb732efd1e45fb8a7e65f1b419adaee282b99116bc85,M,19.0,172.0,57.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Featherweight,
104,3806,"David ""Dave"" Anderson",2f6884b1e49e73fe10498df4d0f6c7f263d7696ac3bf8d25e575df4d1abccc90,M,22.0,184.0,79.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,
105,3808,David Anderson,7a93e209da432ff9e14f561ab0153c2565e1e8c25bbcd294f2217f45ccc78760,M,23.0,190.0,86.0,Canada,CAN,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights,Silver
106,3811,Derrick John Anderson,b51fd704852cc5bf80e6b7f43625a3e643bf1ad10a2a68f5150bb12584c8f928,M,28.0,180.0,75.0,Canada,CAN,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,
107,3817,Gary Myers Anderson,b2ec4cb7bdb35ae4b245864c32cb15588c7f208b5cd18a6fe32b98a811065434,M,19.0,193.0,88.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Individual Medley,
108,3817,Gary Myers Anderson,b2ec4cb7bdb35ae4b245864c32cb15588c7f208b5cd18a6fe32b98a811065434,M,23.0,193.0,88.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Individual Medley,
